network,reduction_pct,optimal_cost_eur,actual_emissions_kg,baseline_cost_eur,baseline_emissions_kg,n_mode_shifts,status,mac_eur_kg,mac_eur_t,step_size
Frankfurt,0.0,15962.9,11286.7,19391.9,13433.3,4,Optimal,,,5%
Frankfurt,5.0,15962.9,11286.7,19391.9,13433.3,4,Optimal,,,5%
Frankfurt,10.0,15962.9,11286.7,19391.9,13433.3,4,Optimal,,,5%
Frankfurt,15.0,15962.9,11286.7,19391.9,13433.3,4,Optimal,,,5%
Frankfurt,20.0,16417.8,10733.4,19391.9,13433.3,7,Optimal,0.822157961322969,822.2,5%
Frankfurt,25.0,19215.95,10048.5,19391.9,13433.3,14,Optimal,4.0854869323988945,4085.5,5%
Frankfurt,30.0,inf,inf,19391.9,13433.3,0,Infeasible,,,5%
Frankfurt,35.0,inf,inf,19391.9,13433.3,0,Infeasible,,,5%
Frankfurt,40.0,inf,inf,19391.9,13433.3,0,Infeasible,,,5%
Frankfurt,45.0,inf,inf,19391.9,13433.3,0,Infeasible,,,5%
Frankfurt,50.0,inf,inf,19391.9,13433.3,0,Infeasible,,,5%
Frankfurt,0.0,15962.9,11286.7,19391.9,13433.3,4,Optimal,,,10%
Frankfurt,10.0,15962.9,11286.7,19391.9,13433.3,4,Optimal,,,10%
Frankfurt,20.0,16417.8,10733.4,19391.9,13433.3,7,Optimal,0.822157961322969,822.2,10%
Frankfurt,30.0,inf,inf,19391.9,13433.3,0,Infeasible,,,10%
Frankfurt,40.0,inf,inf,19391.9,13433.3,0,Infeasible,,,10%
Frankfurt,50.0,inf,inf,19391.9,13433.3,0,Infeasible,,,10%
